2024-09-01 09:15:00-05,2024-09-01 10:35:00-05,3,3

2024-09-01 11:05:00-05,2024-09-01 12:15:00-05,4,5

2024-09-01 13:20:00-05,2024-09-01 14:40:00-05,4,3

2024-09-02 09:30:00-05,2024-09-02 10:55:00-05,3,8

2024-09-02 11:25:00-05,2024-09-02 12:45:00-05,4,4

2024-09-02 13:10:00-05,2024-09-02 14:30:00-05,3,3

2024-09-03 09:50:00-05,2024-09-03 11:00:00-05,4,5

2024-09-03 11:30:00-05,2024-09-03 12:55:00-05,3,3

2024-09-03 13:20:00-05,2024-09-03 14:40:00-05,3,6

2024-09-03 15:05:00-05,2024-09-03 16:25:00-05,4,4

2024-09-04 09:05:00-05,2024-09-04 10:30:00-05,3,3

2024-09-04 10:55:00-05,2024-09-04 12:15:00-05,4,8

2024-09-04 13:40:00-05,2024-09-04 15:00:00-05,3,3

2024-09-04 15:20:00-05,2024-09-04 16:40:00-05,4,5

2024-09-04 17:05:00-05,2024-09-04 18:25:00-05,3,6

2024-09-05 09:30:00-05,2024-09-05 10:45:00-05,3,4

2024-09-05 11:10:00-05,2024-09-05 12:25:00-05,4,3

2024-09-05 12:50:00-05,2024-09-05 14:05:00-05,3,8

2024-09-05 14:25:00-05,2024-09-05 15:40:00-05,4,3

2024-09-05 16:05:00-05,2024-09-05 17:20:00-05,3,6

2024-09-05 17:40:00-05,2024-09-05 18:55:00-05,4,5

2024-09-06 09:15:00-05,2024-09-06 10:30:00-05,3,4

2024-09-06 10:55:00-05,2024-09-06 12:10:00-05,4,3

2024-09-06 12:35:00-05,2024-09-06 13:50:00-05,3,8

2024-09-06 14:10:00-05,2024-09-06 15:25:00-05,4,3

2024-09-06 15:50:00-05,2024-09-06 17:05:00-05,3,6

2024-09-06 17:25:00-05,2024-09-06 18:40:00-05,4,5

2024-09-07 09:30:00-05,2024-09-07 10:45:00-05,3,4

2024-09-07 11:10:00-05,2024-09-07 12:25:00-05,4,3

2024-09-07 12:50:00-05,2024-09-07 14:05:00-05,3,8

2024-09-07 14:25:00-05,2024-09-07 15:40:00-05,4,3

